,close,holding,cash_flows,trades,stoploss,trades_pl,cum_cash_flow,cash
2017-12-31 18:55:00.000,13737.1,0.0,0.0,0.0,0,0.0,0.0,13815.41
2017-12-31 19:00:00.000,13766.0,0.0,0.0,0.0,0,0.0,0.0,13815.41
2017-12-31 19:05:00.000,13799.99,0.0,0.0,0.0,0,0.0,0.0,13815.41
2017-12-31 19:10:00.000,13820.0,0.0,0.0,0.0,0,0.0,0.0,13815.41
2017-12-31 19:15:00.000,13860.0,0.0,0.0,0.0,0,0.0,0.0,13815.41
2017-12-31 19:20:00.000,13815.41,1.0,-13815.41,1.0,0,0.0,-13815.41,0.0
2017-12-31 19:25:00.000,13773.99,1.0,0.0,0.0,0,0.0,-13815.41,0.0
2017-12-31 19:30:00.000,13779.98,1.0,0.0,0.0,0,0.0,-13815.41,0.0
2017-12-31 19:35:00.000,13760.0,0.0,13760.0,-1.0,0,-0.004010738733052466,-55.409999999999854,13760.0
2017-12-31 19:40:00.000,13785.05,0.0,0.0,0.0,0,0.0,-55.409999999999854,13760.0
2017-12-31 19:45:00.000,13745.140000000001,0.0,0.0,0.0,0,0.0,-55.409999999999854,13760.0
2017-12-31 19:50:00.000,13758.88,0.0,0.0,0.0,0,0.0,-55.409999999999854,13760.0
2017-12-31 19:55:00.000,13780.16,0.0,0.0,0.0,0,0.0,-55.409999999999854,13760.0
2017-12-31 20:00:00.000,13859.449999999999,0.0,0.0,0.0,0,0.0,-55.409999999999854,13760.0
2017-12-31 20:05:00.000,13899.0,1.0,-13899.0,1.0,0,0.0,-13954.41,-139.0
2017-12-31 20:10:00.000,13881.26,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:15:00.000,13850.48,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:20:00.000,13900.7,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:25:00.000,13915.75,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:30:00.000,13907.62,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:35:00.000,13969.449999999999,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:40:00.000,14010.0,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:45:00.000,14019.99,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:50:00.000,13978.44,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 20:55:00.000,13971.949999999999,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:00:00.000,13931.349999999999,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:05:00.000,13904.48,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:10:00.000,13942.27,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:15:00.000,13950.0,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:20:00.000,13935.220000000001,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:25:00.000,13920.03,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:30:00.000,13937.949999999999,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:35:00.000,13915.34,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:40:00.000,13915.220000000001,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:45:00.000,13929.12,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:50:00.000,13911.84,1.0,0.0,0.0,0,0.0,-13954.41,-139.0
2017-12-31 21:55:00.000,13940.99,0.0,13940.99,-1.0,0,0.003021080653284436,-13.420000000000073,13801.99
2017-12-31 22:00:00.000,13997.99,1.0,-13997.99,1.0,0,0.0,-14011.41,-196.0
2017-12-31 22:05:00.000,13976.949999999999,1.0,0.0,0.0,0,0.0,-14011.41,-196.0
2017-12-31 22:10:00.000,13911.0,1.0,0.0,0.0,0,0.0,-14011.41,-196.0
2017-12-31 22:15:00.000,13934.0,1.0,0.0,0.0,0,0.0,-14011.41,-196.0
2017-12-31 22:20:00.000,13901.369999999999,1.0,0.0,0.0,0,0.0,-14011.41,-196.0
2017-12-31 22:25:00.000,13898.98,0.0,13898.98,-1.0,0,-0.00707315836059319,-112.43000000000029,13702.98
2017-12-31 22:30:00.000,13963.98,0.0,0.0,0.0,0,0.0,-112.43000000000029,13702.98
2017-12-31 22:35:00.000,13921.0,0.0,0.0,0.0,0,0.0,-112.43000000000029,13702.98
2017-12-31 22:40:00.000,13899.93,0.0,0.0,0.0,0,0.0,-112.43000000000029,13702.98
2017-12-31 22:45:00.000,13850.0,0.0,0.0,0.0,0,0.0,-112.43000000000029,13702.98
2017-12-31 22:50:00.000,13793.82,0.0,0.0,0.0,0,0.0,-112.43000000000029,13702.98
2017-12-31 22:55:00.000,13820.5,0.0,0.0,0.0,0,0.0,-112.43000000000029,13702.98
2017-12-31 23:00:00.000,13759.43,0.0,0.0,0.0,0,0.0,-112.43000000000029,13702.98
