strategy_name,ma_short,ma_long,stoploss,sharpe_ratio,sortino_ratio,max_drawdown,Final_Return,Total_Trades,Average_Trades_PL
5_26_0.03,5,26,0.03,-0.010157627219257481,-0.014264288025863521,0.30535044795292265,0.01839451018826055,756,4.56139775312663e-06
5_25_0.005,5,25,0.005,0.005966787853336487,0.008879446031147509,0.09194693707282608,1.0464714474633867,1065,8.830281914614807e-05
5_27_1,5,27,1.0,-0.007731881905721636,-0.011256916269406352,0.28138372657787725,0.1595681923301593,729,2.2674750345005093e-05
5_33_0.04,5,33,0.04,-0.012249818178206225,-0.01722552190386545,0.3827774317397431,-0.09487072768741611,663,-1.262026822926806e-05
6_25_0.03,6,25,0.03,-0.01516496858106487,-0.021391807233075207,0.28741178944173895,-0.17125822655599499,744,-1.37086941178361e-05
5_30_0.05,5,30,0.05,-0.009771165125294572,-0.014192305017193403,0.3871206354362551,0.0123022045672192,687,9.395945476903518e-06
5_32_0.01,5,32,0.01,-0.005094081161571535,-0.0072907480664376875,0.3109353699472682,0.2381185067978444,799,2.7795838378921286e-05
5_29_0.02,5,29,0.02,-0.0016520062108100657,-0.002374320026334506,0.20387141927271857,0.5116695052843163,725,5.781799762500802e-05
6_26_1,6,26,1.0,-0.009776607553298051,-0.014190104497168371,0.3696081860774795,0.018217669680316906,715,9.77337595432206e-06
6_29_0.05,6,29,0.05,-0.011526814916147517,-0.01667162423800478,0.4776455571453925,-0.13243472325468453,675,-3.921506155395913e-06
6_28_0.02,6,28,0.02,-0.0037835166469916493,-0.005446526204206642,0.3036704148569862,0.3505023453625271,719,4.0603700481784574e-05
5_35_0.005,5,35,0.005,-0.0021444626069705183,-0.003142082342168033,0.17222943829493442,0.5061349536495972,931,4.6689307305151296e-05
5_28_0.005,5,28,0.005,0.006316005610110297,0.009395340093100602,0.09230573128909136,1.083445214438091,991,9.77057775442665e-05
5_26_0.04,5,26,0.04,-0.005878599166208299,-0.008507444973744442,0.25638065716686576,0.2507464925036611,749,2.774949575423706e-05
5_25_0.01,5,25,0.01,-0.0014818826041741906,-0.0021579845182649357,0.16027275619632386,0.5516965982189441,905,4.868598644335654e-05
6_25_0.04,6,25,0.04,-0.011292700311237401,-0.016126046979735048,0.22067756476123668,0.005761206447804534,740,5.271266480677078e-07
6_29_1,6,29,1.0,-0.011526814916147517,-0.01667162423800478,0.4776455571453925,-0.13243472325468453,675,-3.921506155395913e-06
5_30_1,5,30,1.0,-0.009771165125294572,-0.014192305017193403,0.3871206354362551,0.0123022045672192,687,9.395945476903518e-06
5_33_0.05,5,33,0.05,-0.012827050552492206,-0.01837347619956897,0.4353397441133825,-0.13276551329276576,659,-8.622016031386328e-06
5_29_0.03,5,29,0.03,-0.015624682404539849,-0.022278202882867356,0.3381443222026367,-0.2145628323734151,706,-1.6761929221980988e-05
6_28_0.03,6,28,0.03,-0.018660617940724284,-0.026307657133735583,0.4918706713256854,-0.4076128050042147,690,-3.26840001516973e-05
6_27_0.005,6,27,0.005,0.009883151246737895,0.014807546709131134,0.09615773312358011,1.349295309492759,967,0.00011727296645713124
5_32_0.02,5,32,0.02,-0.004044657209690863,-0.005802193535419991,0.23123547836729397,0.3674375787616866,680,4.110325879201264e-05
5_35_0.01,5,35,0.01,-0.00728504994015859,-0.010405052572129023,0.2666218292737883,0.10662827958055643,797,1.2855740575474107e-05
5_25_0.02,5,25,0.02,-0.0031145858777106715,-0.00449205005242449,0.19218550800961476,0.44455104843070026,791,4.415150896288983e-05
5_28_0.01,5,28,0.01,-0.003051721713100665,-0.004406121284399489,0.22239786096708614,0.39180655514385787,855,4.550266666553277e-05
6_25_0.05,6,25,0.05,-0.009290463421205559,-0.01350672098001258,0.32962997731563215,0.08180273108953862,737,1.3230059179535565e-05
5_33_1,5,33,1.0,-0.012827050552492206,-0.01837347619956897,0.4353397441133825,-0.13276551329276576,659,-8.622016031386328e-06
6_30_0.005,6,30,0.005,0.002387927506530863,0.0035106734189145677,0.1265885684036091,0.8174862258503293,923,7.287932319408443e-05
5_26_0.05,5,26,0.05,-0.008382281008955834,-0.012177192309168413,0.31361210754932034,0.11168253421360652,747,1.780385698501345e-05
5_31_0.005,5,31,0.005,0.004301076796764,0.006376111209833916,0.14596048274783313,0.955342646363744,917,8.959820717948005e-05
6_28_0.04,6,28,0.04,-0.015025467560785221,-0.02151039073425324,0.3329315633154718,-0.22710958843443296,684,-1.9817935174968436e-05
5_29_0.04,5,29,0.04,-0.0060502542930234845,-0.008767064236206731,0.2262006380451308,0.24121371714628825,703,2.7139341776606283e-05
6_27_0.01,6,27,0.01,-0.00262955547943222,-0.003805370516190157,0.2768669651354364,0.42774124273358693,837,4.264268916906341e-05
5_32_0.03,5,32,0.03,-0.008278544015612677,-0.011876917322480456,0.25377011772259805,0.11368049156702509,663,1.3398190972477833e-05
5_35_0.02,5,35,0.02,-0.01014824979558421,-0.014445648770473614,0.40437853972705595,-0.14972757232684164,684,-6.047137393619156e-06
6_25_1,6,25,1.0,-0.009290463421205559,-0.01350672098001258,0.32962997731563215,0.08180273108953862,737,1.3230059179535565e-05
5_25_0.03,5,25,0.03,-0.009929082553335434,-0.013980973694660614,0.2792708047898722,0.04352979028490478,776,7.179762575804754e-06
5_28_0.02,5,28,0.02,-0.0017940567423903537,-0.0025884204849997003,0.20722513171275314,0.5021987910601273,739,5.595346441090787e-05
5_31_0.01,5,31,0.01,-0.003943308239380186,-0.005655297921392734,0.28557829973015336,0.3433480367213133,803,3.5388511873340624e-05
6_30_0.01,6,30,0.01,-0.004320909705219595,-0.006231471181750464,0.23497117700539294,0.32983087689187984,805,3.456278452778087e-05
5_34_0.005,5,34,0.005,-0.0009781782746712084,-0.0014277975826855489,0.15752548002574618,0.5884208286254393,919,5.5216113058866917e-05
5_26_1,5,26,1.0,-0.008382281008955834,-0.012177192309168413,0.31361210754932034,0.11168253421360652,747,1.780385698501345e-05
6_28_0.05,6,28,0.05,-0.010551252993975302,-0.015276740736301515,0.4342271642252843,-0.06183901687165383,681,2.7153102164272102e-06
5_29_0.05,5,29,0.05,-0.008510709327827153,-0.012376078648823112,0.31732089685912357,0.10508410535771273,701,1.6909665844507437e-05
5_32_0.04,5,32,0.04,-0.007863096052022277,-0.011279826959832321,0.24926821969905244,0.13741249807280398,661,1.586548703640983e-05
6_27_0.02,6,27,0.02,-0.004743668463085121,-0.006809408185606966,0.23826966434488372,0.3246540181893547,741,3.272068211177102e-05
5_35_0.03,5,35,0.03,-0.012237328577435298,-0.017237539588501896,0.5048959627690518,-0.19664417487428854,663,-1.1170938780181235e-05
5_25_0.04,5,25,0.04,-0.006439948117297673,-0.009336534991314616,0.23673285592881121,0.23106412332315807,769,2.439301272224134e-05
6_26_0.005,6,26,0.005,0.005631161608904518,0.008438657310185383,0.10019460161200566,1.037239394685213,995,9.295373479240214e-05
5_28_0.03,5,28,0.03,-0.0156728877397188,-0.022071638903987965,0.3594650895868362,-0.24561771963336643,726,-1.9279983818843686e-05
6_30_0.02,6,30,0.02,-0.0058196967777303914,-0.008309122589388877,0.3463783057007982,0.20127444553103402,693,2.7729280134591622e-05
5_27_0.005,5,27,0.005,0.009016118879457352,0.01342951492521928,0.08130550923916857,1.256487701052678,991,0.00010912969413014829
5_34_0.01,5,34,0.01,-0.006880830294262302,-0.009802513661506158,0.2729884689094323,0.15385867665165365,791,1.6210227231431986e-05
6_28_1,6,28,1.0,-0.010551252993975302,-0.015276740736301515,0.4342271642252843,-0.06183901687165383,681,2.7153102164272102e-06
5_31_0.02,5,31,0.02,-0.004442309039093015,-0.006374277861207853,0.2124243892009403,0.3378442912660573,694,3.807944471128536e-05
5_29_1,5,29,1.0,-0.008510709327827153,-0.012376078648823112,0.31732089685912357,0.10508410535771273,701,1.6909665844507437e-05
5_32_0.05,5,32,0.05,-0.010589561572312119,-0.015220843551761492,0.35374560260461374,-0.0027208747333599126,659,5.736346370900717e-06
6_27_0.03,6,27,0.03,-0.01715319820135722,-0.02410477587791514,0.39113950178570833,-0.29396362274112375,710,-2.4668509572788616e-05
5_35_0.04,5,35,0.04,-0.009612754795307403,-0.013758465209791515,0.29954699243746385,-0.001190062401332681,657,2.8931354836576545e-06
5_25_0.05,5,25,0.05,-0.009040425974309948,-0.013156147331780952,0.30418880166077156,0.09200016503310349,767,1.4432598479470168e-05
6_26_0.01,6,26,0.01,-0.0014052342996447819,-0.0020386024383216897,0.18458303634381745,0.5354266410822128,855,4.978606977930123e-05
5_28_0.04,5,28,0.04,-0.006889319523996845,-0.009976565423412022,0.2538635733782577,0.18501922128984938,719,2.1690038251838638e-05
6_30_0.03,6,30,0.03,-0.01311722059589381,-0.018492982261964913,0.4476641043385814,-0.1739651909141794,665,-1.8025456081189895e-05
5_34_0.02,5,34,0.02,-0.011319002908653062,-0.01608572065538254,0.45287448021228693,-0.20823894477253901,680,-9.261242276556425e-06
5_27_0.01,5,27,0.01,0.0003622232470083486,0.0005252051265680059,0.1621858655858971,0.6602772411386988,863,6.461142842115112e-05
6_29_0.005,6,29,0.005,0.004043453670229691,0.005974092587951634,0.12321226915997807,0.9343720562762998,937,8.369074987068739e-05
5_31_0.03,5,31,0.03,-0.007317721990320297,-0.010577492304101793,0.26314214438086725,0.15091956011439422,673,1.8823679600875174e-05
5_30_0.005,5,30,0.005,0.005899971433296617,0.00878045991276104,0.11808965715074149,1.0618174053466505,947,9.741390757989898e-05
5_32_1,5,32,1.0,-0.010589561572312119,-0.015220843551761492,0.35374560260461374,-0.0027208747333599126,659,5.736346370900717e-06
6_27_0.04,6,27,0.04,-0.015608458325158038,-0.022234981025270387,0.32727097637694,-0.20149862167752397,704,-2.2367656177235595e-05
5_35_0.05,5,35,0.05,-0.01207348667152282,-0.017309689089443983,0.42505443364082107,-0.13783376678650827,655,-7.0348245451217385e-06
5_25_1,5,25,1.0,-0.009040425974309948,-0.013156147331780952,0.30418880166077156,0.09200016503310349,767,1.4432598479470168e-05
6_26_0.02,6,26,0.02,-0.006077091172152141,-0.008672835226212667,0.2507642957316607,0.21470404726589654,753,2.7109235242488565e-05
6_30_0.04,6,30,0.04,-0.009485800976758177,-0.013375153591158285,0.28666724872215255,0.013587406408746006,657,4.489558100082074e-06
5_28_0.05,5,28,0.05,-0.00928545830855047,-0.01349268085522747,0.37479287163346064,0.048889609501273856,717,1.1470011877566358e-05
