strategy_name,ma_short,ma_long,stoploss,sharpe_ratio,sortino_ratio,max_drawdown,Final_Return,Total_Trades,Average_Trades_PL
5_25_0.005,5,25,0.005,0.022800693430365598,0.03393073991636244,0.09194693707282608,1.0464714474633867,1065,8.830281914614807e-05
5_25_0.01,5,25,0.01,0.01221751544325476,0.017791698953709686,0.16027275619632386,0.5516965982189441,905,4.868598644335654e-05
5_25_0.02,5,25,0.02,0.010293984762539253,0.014846627002049518,0.19218550800961476,0.44455104843070026,791,4.415150896288983e-05
5_25_0.03,5,25,0.03,0.002494192542091539,0.003512030455289784,0.2792708047898722,0.04352979028490478,776,7.179762575804754e-06
5_25_0.04,5,25,0.04,0.006252698744113457,0.009065063809716063,0.23673285592881121,0.23106412332315807,769,2.439301272224134e-05
5_25_0.05,5,25,0.05,0.003509722290488879,0.005107549542302609,0.30418880166077156,0.09200016503310349,767,1.4432598479470168e-05
5_25_1,5,25,1.0,0.003509722290488879,0.005107549542302609,0.30418880166077156,0.09200016503310349,767,1.4432598479470168e-05
5_26_0.005,5,26,0.005,0.022138013795010618,0.0329119735437186,0.09728775644765486,1.0409127633562951,1031,8.881540804708017e-05
5_26_0.01,5,26,0.01,0.012120936827065923,0.017559325469581135,0.20783952049453014,0.6049240883911502,885,5.675255297426917e-05
5_26_0.02,5,26,0.02,0.005467031830612095,0.007860716885683428,0.22243398828719763,0.18711512723835244,772,2.0055623682603433e-05
5_26_0.03,5,26,0.03,0.0019784491158694687,0.002778322872469038,0.30535044795292265,0.01839451018826055,756,4.56139775312663e-06
5_26_0.04,5,26,0.04,0.006539838471335261,0.009464383326537948,0.25638065716686576,0.2507464925036611,749,2.774949575423706e-05
5_26_0.05,5,26,0.05,0.0038970968815573823,0.005661430119496344,0.31361210754932034,0.11168253421360652,747,1.780385698501345e-05
5_26_1,5,26,1.0,0.0038970968815573823,0.005661430119496344,0.31361210754932034,0.11168253421360652,747,1.780385698501345e-05
5_27_0.005,5,27,0.005,0.02607970086469489,0.03884573137180659,0.08130550923916857,1.256487701052678,991,0.00010912969413014829
5_27_0.01,5,27,0.01,0.013192132200805583,0.019127914951483697,0.1621858655858971,0.6602772411386988,863,6.461142842115112e-05
5_27_0.02,5,27,0.02,0.012264401946031157,0.01779421745080419,0.21423833809885784,0.5813878560245413,755,5.98613007150142e-05
5_27_0.03,5,27,0.03,0.00310853577338133,0.004377189946907239,0.2751365385106983,0.07262176801122844,738,9.826940159737232e-06
5_27_0.04,5,27,0.04,0.007406617914331967,0.010744386089903498,0.22094725806071291,0.2956978041187348,731,3.284109908239049e-05
5_27_0.05,5,27,0.05,0.004873199727245218,0.007094935225678842,0.28138372657787725,0.1595681923301593,729,2.2674750345005093e-05
5_27_1,5,27,1.0,0.004873199727245218,0.007094935225678842,0.28138372657787725,0.1595681923301593,729,2.2674750345005093e-05
5_28_0.005,5,28,0.005,0.022360266952765013,0.033261894552065935,0.09230573128909136,1.083445214438091,991,9.77057775442665e-05
5_28_0.01,5,28,0.01,0.008561595559575998,0.012361359248953117,0.22239786096708614,0.39180655514385787,855,4.550266666553277e-05
5_28_0.02,5,28,0.02,0.010646661486069785,0.015360738618937315,0.20722513171275314,0.5021987910601273,739,5.595346441090787e-05
5_28_0.03,5,28,0.03,-0.004165329565853729,-0.00586590369435505,0.3594650895868362,-0.24561771963336643,726,-1.9279983818843686e-05
5_28_0.04,5,28,0.04,0.0052928357782438375,0.007664664446626081,0.2538635733782577,0.18501922128984938,719,2.1690038251838638e-05
5_28_0.05,5,28,0.05,0.0026310614043506095,0.003823190052635237,0.37479287163346064,0.048889609501273856,717,1.1470011877566358e-05
5_28_1,5,28,1.0,0.0026310614043506095,0.003823190052635237,0.37479287163346064,0.048889609501273856,717,1.1470011877566358e-05
5_29_0.005,5,29,0.005,0.022270937433259173,0.033172296437718476,0.09544706995618157,1.0984000655789554,967,9.949787500362948e-05
5_29_0.01,5,29,0.01,0.009181089230331202,0.013287638899775352,0.2451541854887993,0.43355719446617846,833,4.9385963614404954e-05
5_29_0.02,5,29,0.02,0.01078592085431256,0.015501895646200832,0.20387141927271857,0.5116695052843163,725,5.781799762500802e-05
5_29_0.03,5,29,0.03,-0.0036195060863991207,-0.005160814718713483,0.3381443222026367,-0.2145628323734151,706,-1.6761929221980988e-05
5_29_0.04,5,29,0.04,0.006369063199624998,0.009229031292115972,0.2262006380451308,0.24121371714628825,703,2.7139341776606283e-05
5_29_0.05,5,29,0.05,0.0037653359926351835,0.005475465391789478,0.31732089685912357,0.10508410535771273,701,1.6909665844507437e-05
5_29_1,5,29,1.0,0.0037653359926351835,0.005475465391789478,0.31732089685912357,0.10508410535771273,701,1.6909665844507437e-05
5_30_0.005,5,30,0.005,0.021421832290898047,0.031880415323133654,0.11808965715074149,1.0618174053466505,947,9.741390757989898e-05
5_30_0.01,5,30,0.01,0.010553002825089586,0.01523063919553293,0.22106897434428785,0.4870842848674035,815,5.0364346538891245e-05
5_30_0.02,5,30,0.02,0.007305262265740008,0.010504063813133362,0.21030143922684463,0.29513766149538756,714,3.458480744561879e-05
5_30_0.03,5,30,0.03,0.0009698694843540687,0.0013953030922548802,0.4326875125973786,-0.03826207112202973,693,4.931468705926278e-06
5_30_0.04,5,30,0.04,0.004629181060541041,0.006694963770129718,0.261800728870485,0.15136616285727333,689,1.9498865188243242e-05
5_30_0.05,5,30,0.05,0.0018998428777340225,0.002759461052985824,0.3871206354362551,0.0123022045672192,687,9.395945476903518e-06
5_30_1,5,30,1.0,0.0018998428777340225,0.002759461052985824,0.3871206354362551,0.0123022045672192,687,9.395945476903518e-06
5_31_0.005,5,31,0.005,0.018804077373245354,0.0278760166803673,0.14596048274783313,0.955342646363744,917,8.959820717948005e-05
5_31_0.01,5,31,0.01,0.007916559832170865,0.011353539121378497,0.28557829973015336,0.3433480367213133,803,3.5388511873340624e-05
5_31_0.02,5,31,0.02,0.008088955425204783,0.011606857837541904,0.2124243892009403,0.3378442912660573,694,3.807944471128536e-05
5_31_0.03,5,31,0.03,0.004625645876613413,0.006686197388490431,0.26314214438086725,0.15091956011439422,673,1.8823679600875174e-05
5_31_0.04,5,31,0.04,0.005271738587440769,0.007613166955122876,0.24360213127821828,0.18463440462498082,671,2.182983898227898e-05
5_31_0.05,5,31,0.05,0.0013795735451905505,0.0019218973136553177,0.3141127473286408,-0.011047410102196897,670,1.6397408045088092e-06
5_31_1,5,31,1.0,0.002542982272233668,0.0036877050719940634,0.35803731350508716,0.04450103181881726,669,1.1664096851991996e-05
5_32_0.005,5,32,0.005,0.019644513564632954,0.028938071016000995,0.1456329231361253,0.9489567808700692,917,8.996934349253383e-05
5_32_0.01,5,32,0.01,0.005998357092653642,0.00858496537216061,0.3109353699472682,0.2381185067978444,799,2.7795838378921286e-05
5_32_0.02,5,32,0.02,0.008656476969736758,0.012418000366749872,0.23123547836729397,0.3674375787616866,680,4.110325879201264e-05
5_32_0.03,5,32,0.03,0.003934454697291648,0.00564461492995027,0.25377011772259805,0.11368049156702509,663,1.3398190972477833e-05
5_32_0.04,5,32,0.04,0.004403003019347511,0.00631622859917704,0.24926821969905244,0.13741249807280398,661,1.586548703640983e-05
5_32_0.05,5,32,0.05,0.001522174299203821,0.0021878882056148136,0.35374560260461374,-0.0027208747333599126,659,5.736346370900717e-06
5_32_1,5,32,1.0,0.001522174299203821,0.0021878882056148136,0.35374560260461374,-0.0027208747333599126,659,5.736346370900717e-06
5_33_0.005,5,33,0.005,0.015430185309378352,0.022622425680899318,0.1513641229992948,0.722432026990163,931,6.630718913445166e-05
5_33_0.01,5,33,0.01,0.00376174648722017,0.005367065664179888,0.26498858682213455,0.10597290272239546,809,1.159773192859348e-05
5_33_0.02,5,33,0.02,0.001465513441645182,0.002087160935437661,0.334171127438987,-0.012945833674136376,686,6.550995071747947e-06
5_33_0.03,5,33,0.03,-0.0005145818007444678,-0.0007299980542224015,0.3932512202095293,-0.0967062432457676,665,-1.0861962834203174e-05
5_33_0.04,5,33,0.04,-0.00047904574458449854,-0.0006736273833822853,0.3827774317397431,-0.09487072768741611,663,-1.262026822926806e-05
5_33_0.05,5,33,0.05,-0.0012918165063941028,-0.0018503988689614079,0.4353397441133825,-0.13276551329276576,659,-8.622016031386328e-06
